Quercus palustris,アメリカガシワ
Quercus phillyraeoides,ウバメガシ
Quercus,コナラ属
Rhaphiolepis indica,モッコクモドキ
Rhaphiolepis umbellata,シャリンバイ
Rhaphiolepis,シャリンバイ属
Rhododendron,ツツジ属
Robinia pseudoacacia,ハリエンジュ
Robinia,ハリエンジュ属
Rosa,バラ属
Sorbus commixta,ナナカマド
Sorbus,ナナカマド属
Staphylea bumalda,ミツバウツギ
Staphylea,ミツバウツギ属
Styphnolobium japonicum var. pendulum,シダレエンジュ
Styphnolobium japonicum,エンジュ
Styphnolobium,エンジュ属
Styrax japonica,エゴノキ
Styrax,エゴノキ属
Syringa vulgaris,ムラサキハシドイ
Syringa,ハシドイ属
Taxodium distichum,ラクウショウ
Taxodium,ヌマスギ属
Ternstroemia gymnanthera,モッコク
Ternstroemia,モッコク属
Thuja occidentalis,ニオイヒバ
Thuja,クロベ属
Toxicodendron succedaneum,ハゼノキ
Toxicodendron,ウルシ属
Trachycarpus fortunei,シュロ
Trachycarpus,シュロ属
Triadica sebifera,ナンキンハゼ
Triadica,ナンキンハゼ属
Ulmus davidiana var. japonica,ハルニレ
Ulmus parvifolia,アキニレ
Ulmus,ニレ属
Viburnum odoratissimum,サンゴジュ
Viburnum,ガマズミ属
Washingtonia filifera,ワシントンヤシ
Washingtonia robusta,ワシントンヤシモドキ
Washingtonia,ワシントンヤシ属
Wisteria floribunda,フジ
Wisteria,フジ属
Zelkova serrata,ケヤキ
Zelkova,ケヤキ属
